series,ym,ton,ton_ytd,ton_ytd_bfyear
dried,201906,162.0,1732.0,1435.0
dried,201907,297.0,2029.0,1686.0
dried,201908,171.0,2199.0,1870.0
dried,201909,220.0,2419.0,2118.0
dried,201910,308.0,2728.0,2431.0
dried,201911,254.0,2981.0,2630.0
dried,201912,234.0,3215.0,2906.0
dried,202001,360.0,360.0,318.0
dried,202002,239.0,599.0,567.0
dried,202003,356.0,955.0,926.0
dried,202004,359.0,1314.0,1211.0
dried,202005,426.0,1740.0,1570.0
dried,202006,273.0,2013.0,1732.0
dried,202007,352.0,2366.0,2029.0
dried,202008,303.0,2669.0,2199.0
dried,202009,560.0,3229.0,2419.0
dried,202010,390.0,3619.0,2728.0
dried,202011,318.0,3937.0,2981.0
dried,202012,297.0,4234.0,3215.0
dried,202101,386.0,386.0,360.0
dried,202102,205.0,591.0,599.0
dried,202103,417.0,1008.0,955.0
dried,202104,332.0,1339.0,1314.0
dried,202105,381.0,1720.0,1740.0
dried,202106,283.0,2003.0,2013.0
dried,202107,217.0,2220.0,2366.0
dried,202108,269.0,2489.0,2669.0
dried,202109,271.0,2760.0,3229.0
dried,202110,322.0,3082.0,3619.0
dried,202111,382.0,3463.0,3937.0
dried,202112,346.0,3809.0,4234.0
dried,202201,400.0,400.0,386.0
dried,202202,379.0,779.0,591.0
dried,202203,507.0,1286.0,1008.0
dried,202204,419.0,1705.0,1339.0
dried,202205,317.0,2023.0,1720.0
dried,202206,288.0,2311.0,2003.0
dried,202207,326.0,2637.0,2220.0
dried,202208,244.0,2882.0,2489.0
dried,202209,178.0,3060.0,2760.0
dried,202210,273.0,3334.0,3082.0
dried,202211,232.0,3565.0,3463.0
dried,202212,375.0,3940.0,3809.0
dried,202301,345.0,345.0,400.0
dried,202302,316.0,661.0,779.0
dried,202303,410.0,1070.0,1286.0
dried,202304,249.0,1319.0,1705.0
dried,202305,323.0,1642.0,2023.0
dried,202306,370.0,2012.0,2311.0
dried,202307,295.0,2307.0,2637.0
dried,202308,782.0,3089.0,2882.0
dried,202309,1649.0,4738.0,3060.0
dried,202310,235.0,4972.0,3334.0
dried,202311,289.0,5261.0,3565.0
dried,202312,1198.0,6459.0,3940.0
dried,202401,330.0,330.0,345.0
dried,202402,329.0,659.0,661.0
dried,202403,420.0,1078.0,1070.0
dried,202404,294.0,1373.0,1319.0
dried,202405,177.0,1550.0,1642.0
dried,202406,330.0,1879.0,2012.0
dried,202407,331.0,2211.0,2307.0
dried,202408,915.0,3126.0,3089.0
dried,202409,947.0,4072.0,4738.0
dried,202410,365.0,4438.0,4972.0
dried,202411,303.0,4740.0,5261.0
dried,202412,445.0,5185.0,6459.0
dried,202501,323.0,323.0,330.0
dried,202502,320.0,643.0,659.0
dried,202503,369.0,1012.0,1078.0
dried,202504,470.0,1482.0,1373.0
dried,202505,433.0,1915.0,1550.0
dried,202506,289.0,2204.0,1879.0
dried,202507,217.0,2421.0,2211.0
dried,202508,242.0,2663.0,3126.0
dried,202509,338.0,3001.0,4072.0
dried,202510,326.0,3327.0,4438.0
dried,202511,307.0,3635.0,4740.0
dried,202512,388.0,4022.0,5185.0
dried,202601,235.0,235.0,323.0
dried,202602,281.0,516.0,643.0
dried,202603,398.0,914.0,1012.0
dried,202604,449.0,1362.0,1482.0
dried,202605,545.0,1907.0,1915.0
dried,202606,368.0,2275.0,2204.0
dried,202607,236.0,2511.0,2421.0
dried,202608,150.0,2660.0,2663.0
fresh,199406,0.0,0.0,0.0
fresh,199407,0.0,0.0,0.0
fresh,199408,0.0,0.0,0.0
fresh,199409,0.0,0.0,0.0
fresh,199410,0.0,0.0,0.0
fresh,199411,0.0,0.0,0.0
