DATE,val,yearAvg,bfYear
201212하순,60181,57566,56622
201301상순,60043,58432,59893
201301중순,59501,54205,75904
201301하순,71863,66181,85523
201302상순,94089,65522,77653
201302중순,127055,66678,77669
201302하순,110794,62909,89284
201303상순,127808,86314,140680
201303중순,128103,85557,139090
201303하순,93967,92440,141201
201304상순,70009,111481,159001
201304중순,58989,125928,151146
201304하순,40123,106084,146087
201305상순,40140,71981,110269
201305중순,33180,38102,47967
201305하순,36957,34794,47629
201306상순,43516,36583,55511
201306중순,46881,39167,75957
201306하순,39149,36435,67210
201307상순,34182,31015,39453
201307중순,31171,30581,33584
201307하순,23343,28541,40247
201308상순,22363,26959,41198
201308중순,23420,24899,32972
201308하순,21689,22538,28011
201309상순,31265,24938,30053
201309중순,47003,31463,44843
201309하순,22204,36534,52601
201310상순,26423,40480,53223
201310중순,47883,52759,66348
201310하순,59600,49394,58445
201311상순,59405,54115,73000
201311중순,57812,45739,63998
201311하순,57071,45237,49562
201312상순,80797,57622,47296
201312중순,70987,56890,46647
201312하순,70932,57436,60181
201401상순,68058,57876,60043
201401중순,78756,56452,59501
201401하순,85480,67536,71863
201402상순,58809,67543,94089
201402중순,48561,70755,127055
201402하순,51041,74607,110794
201403상순,81936,102593,127808
201403중순,105184,99293,128103
201403하순,144360,91604,93967
201404상순,186111,111481,70009
201404중순,213640,125928,58989
201404하순,106352,106084,40123
201405상순,52248,71981,40140
201405중순,40546,37191,33180
201405하순,50286,35287,36957
201406상순,49160,38953,43516
201406중순,50978,40280,46881
201406하순,41621,39836,39149
201407상순,33543,33235,34182
201407중순,43746,31376,31171
201407하순,27333,28793,23343
201408상순,26642,27053,22363
201408중순,23806,25992,23420
201408하순,22823,23268,21689
201409상순,33942,27681,31265
201409중순,31381,39593,47003
201409하순,50414,36034,22204
201410상순,47151,40556,26423
201410중순,73736,61405,47883
201410하순,77369,59784,59600
201411상순,85657,63522,59405
201411중순,73734,53892,57812
201411하순,79589,50697,57071
201412상순,86147,68789,80797
201412중순,94965,65003,70987
201412하순,124489,59124,70932
201501상순,154405,60549,68058
201501중순,157506,63997,78756
201501하순,154374,73705,85480
201502상순,175879,68918,58809
201502중순,173102,66408,48561
201502하순,74575,67298,51041
201503상순,85267,94145,81936
201503중순,86208,101845,105184
201503하순,127341,102862,144360
201504상순,152028,112943,186111
201504중순,175858,125982,213640
201504하순,112493,114252,106352
201505상순,64217,73637,52248
201505중순,39486,40564,40546
201505하순,69076,41393,50286
201506상순,96576,45996,49160
201506중순,51255,45778,50978
201506하순,55626,42917,41621
201507상순,43501,34722,33543
201507중순,32240,32524,43746
201507하순,30087,30124,27333
201508상순,26398,29157,26642
201508중순,22143,26733,23806
201508하순,20222,24174,22823
201509상순,21148,31753,33942
201509중순,26152,41076,31381
201509하순,36751,45437,50414
201510상순,31277,47466,47151
201510중순,41408,70023,73736
