DATE,품목명,1위산지,1위물량,2위산지,2위물량,기타물량,총반입량
202103중순,홍고추,경상남도 진주시,18,광주광역시 광주 남구,16,17,52
202103하순,홍고추,경상남도 진주시,29,광주광역시 광주 남구,12,20,60
202104상순,홍고추,경상남도 진주시,39,광주광역시 광주 남구,6,6,52
202104중순,홍고추,경상남도 진주시,63,경상남도 밀양시,2,3,68
202104하순,홍고추,경상남도 진주시,62,경상남도 밀양시,2,0,64
202105상순,홍고추,경상남도 진주시,68,경상남도 밀양시,4,1,73
202105중순,홍고추,경상남도 진주시,92,경상남도 밀양시,10,2,104
202105하순,홍고추,경상남도 진주시,101,경상남도 밀양시,17,2,120
202106상순,홍고추,경상남도 진주시,83,경상남도 밀양시,32,2,117
202106중순,홍고추,경상남도 진주시,63,경상남도 밀양시,35,4,102
202106하순,홍고추,경상남도 진주시,68,경상남도 밀양시,60,9,137
202107상순,홍고추,경상남도 밀양시,62,경상남도 진주시,49,18,129
202107중순,홍고추,경상남도 진주시,49,경상남도 밀양시,41,32,122
202107하순,홍고추,경상남도 진주시,58,경상남도 밀양시,48,180,286
202108상순,홍고추,강원도 홍천군,63,충청남도 태안군,38,252,352
202108중순,홍고추,강원도 홍천군,137,강원도 평창군,68,385,589
202108하순,홍고추,강원도 평창군,67,강원도 홍천군,62,138,267
202109상순,홍고추,강원도 평창군,50,강원도 홍천군,45,78,174
202109중순,홍고추,강원도 평창군,47,강원도 홍천군,18,69,134
202109하순,홍고추,강원도 평창군,36,강원도 인제군,12,46,93
202110상순,홍고추,강원도 평창군,27,광주광역시 광주 남구,9,35,71
202110중순,홍고추,강원도 평창군,29,광주광역시 광주 남구,24,44,96
202110하순,홍고추,광주광역시 광산구,13,광주광역시 광주 남구,12,35,60
202111상순,홍고추,경상남도 밀양시,26,광주광역시 광주 남구,14,26,66
202111중순,홍고추,경상남도 밀양시,19,광주광역시 광주 남구,12,17,49
202111하순,홍고추,광주광역시 광주 남구,15,경상남도 밀양시,13,14,42
202112상순,홍고추,광주광역시 광주 남구,13,경상남도 진주시,12,20,45
202112중순,홍고추,광주광역시 광주 남구,12,경상남도 진주시,12,19,42
202112하순,홍고추,경상남도 진주시,25,광주광역시 광주 남구,10,16,51
202201상순,홍고추,경상남도 진주시,29,광주광역시 광주 남구,7,5,41
202201중순,홍고추,경상남도 진주시,30,광주광역시 광주 남구,4,6,41
202201하순,홍고추,경상남도 진주시,39,광주광역시 광주 남구,9,11,59
202202상순,홍고추,경상남도 진주시,27,광주광역시 광주 남구,4,5,36
202202중순,홍고추,경상남도 진주시,25,광주광역시 광주 남구,4,3,32
202202하순,홍고추,경상남도 진주시,22,광주광역시 광주 남구,4,3,30
202203상순,홍고추,경상남도 진주시,23,광주광역시 광주 남구,11,12,46
202203중순,홍고추,경상남도 진주시,28,광주광역시 광주 남구,12,9,49
202203하순,홍고추,경상남도 진주시,37,광주광역시 광주 남구,13,10,60
202204상순,홍고추,경상남도 진주시,41,광주광역시 광주 남구,7,4,53
202204중순,홍고추,경상남도 진주시,65,광주광역시 광주 남구,3,4,73
202204하순,홍고추,경상남도 진주시,72,경상남도 밀양시,3,2,77
202205상순,홍고추,경상남도 진주시,82,경상남도 밀양시,3,2,87
202205중순,홍고추,경상남도 진주시,85,경상남도 밀양시,10,2,98
202205하순,홍고추,경상남도 진주시,102,경상남도 밀양시,22,2,126
202206상순,홍고추,경상남도 진주시,82,경상남도 밀양시,25,2,108
202206중순,홍고추,경상남도 진주시,73,경상남도 밀양시,42,3,118
202206하순,홍고추,경상남도 진주시,87,경상남도 밀양시,48,9,144
202207상순,홍고추,경상남도 진주시,54,경상남도 밀양시,31,12,97
202207중순,홍고추,경상남도 진주시,69,경상남도 밀양시,32,58,159
202207하순,홍고추,경상남도 진주시,50,경상남도 밀양시,18,159,228
202208상순,홍고추,강원도 홍천군,32,강원도 평창군,20,151,203
202208중순,홍고추,강원도 홍천군,44,강원도 평창군,31,103,178
202208하순,홍고추,강원도 홍천군,63,강원도 평창군,59,149,271
202209상순,홍고추,강원도 평창군,53,강원도 홍천군,21,82,156
202209중순,홍고추,강원도 평창군,40,강원도 횡성군,12,46,98
202209하순,홍고추,강원도 평창군,36,강원도 양구군,10,44,90
202210상순,홍고추,강원도 평창군,19,광주광역시 광주 남구,13,44,76
202210중순,홍고추,강원도 평창군,15,광주광역시 광주 남구,15,38,68
202210하순,홍고추,광주광역시 광주 남구,20,강원도 평창군,9,40,69
202211상순,홍고추,광주광역시 광주 남구,20,경상남도 밀양시,12,37,69
202211중순,홍고추,경상남도 밀양시,19,광주광역시 광주 남구,18,29,65
202211하순,홍고추,광주광역시 광주 남구,25,경상남도 밀양시,18,28,71
202212상순,홍고추,광주광역시 광주 남구,21,경상남도 진주시,9,29,59
202212중순,홍고추,광주광역시 광주 남구,18,경상남도 진주시,9,18,45
202212하순,홍고추,경상남도 진주시,24,광주광역시 광주 남구,19,18,61
202301상순,홍고추,경상남도 진주시,26,광주광역시 광주 남구,8,8,42
202301중순,홍고추,경상남도 진주시,45,광주광역시 광주 남구,14,16,75
202301하순,홍고추,경상남도 진주시,40,광주광역시 광주 남구,4,4,47
202302상순,홍고추,경상남도 진주시,39,광주광역시 광주 남구,5,3,47
202302중순,홍고추,경상남도 진주시,29,광주광역시 광주 남구,3,3,34
202302하순,홍고추,경상남도 진주시,29,광주광역시 광주 남구,4,5,38
202303상순,홍고추,경상남도 진주시,32,광주광역시 광주 남구,10,11,53
202303중순,홍고추,경상남도 진주시,28,광주광역시 광주 남구,17,7,52
202303하순,홍고추,경상남도 진주시,36,광주광역시 광주 남구,23,3,62
202304상순,홍고추,경상남도 진주시,44,광주광역시 광주 남구,8,1,53
202304중순,홍고추,경상남도 진주시,53,광주광역시 광주 남구,2,1,57
202304하순,홍고추,경상남도 진주시,65,경상남도 밀양시,3,1,69
202305상순,홍고추,경상남도 진주시,96,경상남도 밀양시,6,1,102
202305중순,홍고추,경상남도 진주시,87,경상남도 밀양시,9,0,96
202305하순,홍고추,경상남도 진주시,101,경상남도 밀양시,18,2,121
202306상순,홍고추,경상남도 진주시,97,경상남도 밀양시,25,3,124
202306중순,홍고추,경상남도 진주시,65,경상남도 밀양시,44,4,113
202306하순,홍고추,경상남도 진주시,65,경상남도 밀양시,56,13,134
202307상순,홍고추,경상남도 진주시,57,경상남도 밀양시,42,19,119
202307중순,홍고추,경상남도 진주시,42,경상남도 밀양시,30,40,111
202307하순,홍고추,경상남도 진주시,28,경상남도 밀양시,19,117,164
202308상순,홍고추,강원도 홍천군,80,강원도 평창군,32,198,310
202308중순,홍고추,강원도 홍천군,76,강원도 평창군,50,174,300
202308하순,홍고추,강원도 평창군,57,강원도 홍천군,49,141,248
202309상순,홍고추,강원도 평창군,47,강원도 홍천군,24,86,156
202309중순,홍고추,강원도 평창군,45,강원도 횡성군,14,67,126
202309하순,홍고추,강원도 평창군,44,강원도 횡성군,13,47,104
202310상순,홍고추,강원도 평창군,28,강원도 양구군,9,42,79
202310중순,홍고추,강원도 평창군,13,광주광역시 광주 남구,12,44,69
