DATE,val,yearAvg,bfYear
202203상순,84515,60865,88973
202203중순,61427,53086,63004
202203하순,68693,49140,68511
202204상순,71785,37822,49238
202204중순,60931,37149,41476
202204하순,33942,42886,57079
202205상순,62967,40175,39319
202205중순,44865,36147,38001
202205하순,51744,37784,55975
202206상순,50655,42127,61114
202206중순,55960,35245,50173
202206하순,54944,36988,46993
202207상순,66487,39914,61143
202207중순,103981,45328,52495
202207하순,46026,46443,47988
202208상순,63137,44424,44129
202208중순,51427,46603,24445
202208하순,73060,55301,34627
202209상순,114675,54534,44276
202209중순,53073,64625,54525
202209하순,44027,46280,33802
202210상순,49299,37324,29688
202210중순,41692,36739,42657
202210하순,67865,41688,90290
202211상순,60348,44519,79000
202211중순,34245,36789,47346
202211하순,25063,27703,33367
202212상순,24537,24260,36652
202212중순,29460,23942,26387
202212하순,44965,32063,30348
202301상순,60253,37808,46217
202301중순,69790,50031,61416
202301하순,85776,76047,76574
202302상순,102731,88412,84731
202302중순,147231,79373,80748
202302하순,139222,74326,84588
202303상순,95371,68898,84515
202303중순,87829,59455,61427
202303하순,42791,58722,68693
202304상순,68462,42106,71785
202304중순,78008,37149,60931
202304하순,46994,36424,33942
202305상순,51731,42009,62967
202305중순,72360,38554,44865
202305하순,49333,40899,51744
202306상순,56825,44294,50655
202306중순,57651,40984,55960
202306하순,58754,43684,54944
202307상순,39020,48364,66487
202307중순,51202,48653,103981
202307하순,51261,42539,46026
202308상순,76286,47870,63137
202308중순,56649,49442,51427
202308하순,49490,59094,73060
202309상순,56839,62149,114675
202309중순,67420,59523,53073
202309하순,71268,48195,44027
202310상순,71449,40979,49299
202310중순,64817,41118,41692
202310하순,60673,51993,67865
202311상순,60937,52194,60348
202311중순,52905,37379,34245
202311하순,38465,27922,25063
202312상순,43926,25291,24537
202312중순,32131,25624,29460
202312하순,42077,35208,44965
202401상순,60703,43936,60253
202401중순,90206,55085,69790
202401하순,86735,77920,85776
202402상순,111845,90854,102731
202402중순,124383,85356,147231
202402하순,101423,89729,139222
202403상순,135458,79320,95371
202403중순,131807,61123,87829
202403하순,98038,53823,42791
202404상순,67555,51614,68462
202404중순,74573,46069,78008
202404하순,67446,41221,46994
202405상순,53979,45943,51731
202405중순,52050,41186,72360
202405하순,44127,45541,49333
202406상순,41523,49108,56825
202406중순,52831,48127,57651
202406하순,67752,51257,58754
202407상순,63065,48979,39020
202407중순,71134,51207,51202
202407하순,81182,42539,51261
202408상순,51576,49830,76286
202408중순,88634,54089,56649
202408하순,72364,57161,49490
202409상순,88476,63202,56839
202409중순,92680,58339,67420
202409하순,56354,54386,71268
202410상순,70343,47901,71449
202410중순,73170,42612,64817
202410하순,54775,58583,60673
202411상순,53664,57965,60937
202411중순,69107,41746,52905
202411하순,40859,31547,38465
202412상순,33148,29532,43926
202412중순,39719,27614,32131
202412하순,41053,39130,42077
202501상순,44234,52345,60703
202501중순,78000,63892,90206
202501하순,90796,80987,86735
202502상순,96540,99893,111845
202502중순,110998,104011,124383
202502하순,102726,96984,101423
202503상순,124005,89620,135458
202503중순,105959,70753,131807
202503하순,81685,62457,98038
202504상순,71334,61752,67555
202504중순,49230,58993,74573
202504하순,57060,48933,67446
202505상순,60899,48343,53979
202505중순,71544,44972,52050
202505하순,40282,48401,44127
202506상순,64055,49668,41523
202506중순,51696,52988,52831
202506하순,44980,55177,67752
202507상순,75228,56994,63065
202507중순,113555,58277,71134
202507하순,83774,48425,81182
202508상순,44980,52947,51576
202508중순,37860,54089,88634
202508하순,34064,62435,72364
202509상순,57269,74844,88476
202509중순,56316,69509,92680
202509하순,101673,57216,56354
202510상순,116489,56699,70343
202510중순,57569,50320,73170
202510하순,67714,61104,54775
202511상순,89513,58316,53664
202511중순,56040,45585,69107
202511하순,33175,32298,40859
202512상순,29954,31445,33148
202512중순,28826,29326,39719
202512하순,30923,37826,41053
202601상순,32510,50235,44234
202601중순,63220,69735,78000
202601하순,69102,83471,90796
202602상순,93446,103705,96540
202602중순,85788,114094,110998
202602하순,70149,103030,102726
202603상순,74264,102783,124005
202603중순,63717,85597,105959
202603하순,76275,72963,81685
202604상순,54966,69117,71334
202604중순,46021,61578,49230
202604하순,58334,53711,57060
202605상순,57847,55536,60899
202605중순,55203,56153,71544
202605하순,48561,48401,40282
202606상순,52096,56198,64055
202606중순,75687,53496,51696
202606하순,58786,53564,44980
202607상순,62484,63565,75228
202607중순,58381,75870,113555
202607하순,56683,60144,83774
202608상순,63170,53231,44980
202608중순,73018,48645,37860
202608하순,48071,52160,34064
202609상순,46655,67528,57269
202609중순,74196,59420,56316
202609하순,66330,57216,101673
